location,latitude,longitude,category,description
IIT Patna Gate 1,25.5334895,84.8556477,OTHER,Most used entrance for IIT
Central Lecture Hall,25.5332824,84.8514522,ACADEMIC,For classes and discussion
IIT Patna Temple (Gyaneshwar Mahadev),25.5332354,84.8543659,OTHER,
"Academic Circle, IITP",25.5344018,84.8538948,OTHER,
Inclubation Centre IIT Patna,25.5361778,84.8544043,ACADEMIC,Startup Ideas and Internships
W.C. Near SAC,25.5371017,84.8510549,OTHER,nill
Canara Bank,25.536786,84.8511081,OTHER,Bank
W.C. near SAC,25.5370762,84.8506667,OTHER,nill
Open Air Theatre (OAT),25.5367992,84.8506171,OTHER,For Unofficial events
Food Court,25.5370877,84.8512554,DINNING,Snacks and Fast-food Corner
India Post Office,25.5368472,84.8513569,OTHER,Post Office
Central Library,25.5361424,84.8502516,LIBRARY,For Peacefull study enviourment
Buddha Circle,25.5375482,84.8498173,OTHER,Rotatory Intersection
Hair Salon ,25.5390371,84.8502393,OTHER,Salon for Mens
Canara Bank,25.5389568,84.8502059,OTHER,Bank
"Volleyball Court, IITP",25.5392539,84.8501804,SPORTS,This court is always available
"Tennis Court, IITP",25.5395806,84.8501708,SPORTS,Tennis court near hostel
"Volleyball Court-2, IITP",25.5399317,84.8501433,SPORTS,Always engaged with players 
"Basketball Court, IITP",25.5402912,84.8501238,SPORTS,Often captivated with few players 
Nescafe,25.5406792,84.8504078,DINNING,Best for drinks after dinner
Boys Hostel Road,25.5405425,84.8511836,HOSTEL,This lane connects many hostels
"Gymkhana, IITP",25.5400016,84.849747,SPORTS,"Always hyped with competitive energy with its 3 Badminton courts, Table Tennis, GYM, etc. "
Badminton Court,25.5402709,84.8497143,SPORTS,Indoor Badminton Court (Inside Gymkhana)
APJ Abdul Kalam Boys Hostel,25.5411556,84.8509931,HOSTEL,Also known as Hostel 1
Cycle Parking - Kalam Right Front ,25.5407187,84.8517569,PARKING,nill
Cycle Parking - Kalam Left Front ,25.5413986,84.8517932,PARKING,nill
Aryabhatta Hostel,25.5413101,84.8527921,HOSTEL,nill
Aryabhatta Mess,25.5412487,84.8534301,HOSTEL,nill
"Warden Office, CVR Hostel",25.5400912,84.8527281,OTHER,nill
CV Raman Boys Hostel,25.53959,84.8519961,HOSTEL,nill
Cycle Parking - Aryabhatta ,25.542444,84.8526063,PARKING,nill
"Football Ground, IITP",25.5448168,84.8529947,SPORTS,Main and only footballground of IITP where official matches are conducted.
"Cricket Ground, IITP",25.5451324,84.8547219,SPORTS,Main and only cricket ground of IITP where official matches are conducted.
Main Tennis Court,25.5462256,84.8541218,SPORTS,Main tennis ground of IITP where official matches are conducted.
Main Basketball Court,25.5465241,84.8542435,SPORTS,Main basketball court of IITP where official matches are conducted.
"Volleyball Court 3, IITP",25.5453343,84.8538364,SPORTS,Main volleyball court  of IITP where official matches are conducted.
Director's Bungalow ,25.5475553,84.8540026,OTHER,nill
Hospital - IIT Patna,25.5497047,84.8538834,OTHER,Nursing and Aid Centre in IITP
Fest Arena,25.5342757,84.8529602,OTHER,All fests of IITP is held at this area 
"Nescafe 2, IITP",25.5339335,84.8511422,DINNING,Tea area near classes
"Tutorial Block-9, IITP",25.5325382,84.8518681,ACADEMIC,Classes of B.tech-M.tech and M.sc are conducted here
Foundation for Inovators,25.5325891,84.8514427,ACADEMIC,Invention of all things even related to college happen here 
Turotorial Circle,25.5329397,84.8516928,OTHER,nill
"Block 3, IITP",25.5340599,84.8515161,ACADEMIC,nill
Electrical Engineering Department,25.5339379,84.851573,ACADEMIC,Electrical engineering main classes are held here
Mechanical Engineering Department,25.5342248,84.8512527,ACADEMIC,Mechanical engineering main classes are held here
Car Parking,25.5344269,84.8508434,PARKING,nill
"Department of Civil Engineering, IITP",25.5338553,84.850841,ACADEMIC,Civil engineering main classes are held here
"Block 6, IITP",25.5336133,84.8506346,ACADEMIC,nill
"Polymer Processing Lab, MME, IITP",25.533588,84.8504408,ACADEMIC,Study
Parking Space,25.5328048,84.8503317,PARKING,nill
"Mechanical Engineering Workshop, IITP",25.5325947,84.8496917,ACADEMIC,Mechanical study praticals happen here
"Civil Engineering Workshop, IITP",25.5323078,84.8496941,ACADEMIC,Civil study praticals happen here
Chemical and Biochemical Engineering,25.5341032,84.848573,ACADEMIC,Chemical and Biochemical engineering main classes are held here
